abbreviation kisaltma
abort iptal
above yukarida
absolutely kesinlikle
acceleration hizlanma
accept kabul_etmek
access giris
access erisme
accessible ulasilabilir
accessory aksesuar
accidentally kazara
according_to uygun_olarak
acronym kisaltmasi
act davranmak
actually aslinda
advanced gelismis
affordable satin_alinabilir
again tekrar
allow izin_vermek
almost neredeyse
amazing inanilmaz
amount miktar
annual yillik
another bir_digeri
anywhere herhangi_bir_yer
applicability uygulanabilirlik
appropriate uygun
architecture mimari
area alan
arrange duzenlemek
arrangement duzenleme
aspect gorunus
average ortalama
avoid onlemek
basic temel
battery pil
behind arkasinda
benefit yarar
blend harman
board yazi_tahtasi
bold cesur
boosting artirilmasi
bracket destek
brain beyin
break_up ayrilmak
build insa_etmek
by_means_of vasitasiyla
calculation hesaplama
capability kabiliyer
capable yetenekli
capacious ferah
careful dikkatli
carry_out gerceklestimek
cause sebep_olmak
central merkezi
centre merkez
certain belirli
cheap ucuz
check kontrol
circuit devre
classify siniflandirmak
collection toplamank
combination kombinasyon
combine birlestirmek
command komuta
common yaygin
complete tamamlayiniz
complexity karmasa
component bilesen
comprehension anlama
concern ilgilendirmek
concurrent es_zamanli
condition sart
confusing kafa_karistirici
connector konektor
consecutive ardasik
consider dusunmek
consist_of olusmaktadir
constantly surekli
consumer tuketici
contain icermek
container konteyner
contiguous bitisik
contractor muteahhit
convenient uygun
convert donusturmek
core cekirdek
correct dogru
crash kaza
create olusturmak
currency para_birimi
currently su_anda
damage hasar
dark karanlik
decide karar_ver
decide karak_vermek
decimal ondalik
decrease azaltmak
dedicated adanmis
depend_on baglidir
describe tanimlamak
desired arzu
determine belirlemek
device cihaz
differ benzememek
differ farklilik
different farkli
digit hane
dimension boyut
disadvantage dez_avantaj
discard atma
disparate bambaska
distinct farkli
distinguish ayirmak
distribute dagitmak
divide bolmek
drawback sakinca
during sirasinda
edit duzenle
edit duzenle
effect etki
efficient verimli
efficiently verimli_bicimde
embed gommek
emit yaymak
emphasize vurgulamak
enhanced enhanced
ensure saglamak
equal esit
equivalent esdeger
erase silme
essential gerekli
even hatta
evolve gelismek
examine muayne_etmek
exist var_olmak
expand genisletmek
expansion genisleme
extract ayiklamak
fabric kumas
facet yon
fat sisman
feature ozellik
field alan,saha
file dosya
filter filtre
finally en_sonunda
firm firma
fix duzeltme
fix duzeltmek
flag bayrak
flow akis
for_instance ornegin
force guc
form olusturmak
formal bicimsel
former eski
fragmentation parcalama
frequently sik_sik
front on
future gelecek
generate uretmek
give_up pec_etmek
glass bardak
goods mal
hand el
handle ustesinden_gelmek
head kafa
high_speed yuksek_hiz
hire kiralama
hold ambar
hold ambar,tutmak
hope umut
hopefully insallah
horizontal yatay
host ev_sahibi
however ancak
huge kocaman
identification kimlik
illustrate gozunde_canlandirmak
image goruntu
imagine hayal_etmek
imply ima_etmek
in_order_to amaciyla
include dahil_etmek
incorporate anonim
increase artirmak
independent bagimsiz
individual bireysel
inexpensive ucuz
informally gayri
insert eklemek
insert sokmak
inside icinde
instantly aninda
instead_of onun_yerine
instruction talimat
insure sigortalamak
integrated birlesik
intelligence zeka
intend niyet_etmek
interfere karismak
internal ic
internal ic
interpret yorumlamak
interval aralik
into icine
introduce takdim_etmek
investigate incelemek
investment yatirim
invoice fatura
involve dahil,karistirmak
itself kendisi
keep tut
kind tur
large buyuk
latter ikincisi
launch baslatmak
less az
limited sinirli
line hat
locate yerlestirmek
location yer
logical mantikli
lose kaybetmek
maintain surdurmek
majority cogunluk
make_up barismak
manage yonetmek
management yonetim
manipulate manipule_etmek
manually el_ile
manufacturer uretici_firma
match eslesme
meaningful anlamli
measure tedbir
memory hafiza
mention anma
mind zihin
modify degistirmek
most cogu
movement hareket
mysterious gizemli
naturally dogal_olarak
nearly neredeyse
nerve sinir
next sonraki
non_volatile ucucu_olmayan
obsolete eski
obtain elde_etmek
occur meydana
offer teklif
often siklikla
operating_system isletim_sistemi
optimization optimizasyon
otherwise aksi_taktirde
overall tum
paper kagit
part bolum
particulary ayrintili_olarak
pass gecmek
perform perform
perform yapmak
perhaps belki
permanent kalici
permit izin
picture resim
piece parca
plain sade
poor zavalli
portability tasinabilirlik
portable tasinabilir
possible mumkun
possiblity olasiliklari
possibly belki
powerful guclu
precise kesin
prefer tercih_etmek
prefix on_ek
prevent onlemek
previously onceden
primary birincil
process surec
produce uretmek
propriertary tescilli
provide saglamak
punctuation noktalama
purpose amac
push itmek
quickly hizli_bir_sekilde
quite epeyce
range aralik
rapidly hizla
rate oran
raw cig
rear arka
rechargeable sarj_edilebilir
recognize tanimak
record kayit
refer basvurmak
register kayit_ol
regular duzenli
relase gevsetmedir
related_to ile_ilgili
relational iliskisel
relatively nispeten
release serbest_birakmak
reliable durust
removable kaldirilabilir
remove kaldirmak
reorder siparis
repair onarim
replace degistirmek
replicate tekrarlamak
report bildiri
represent temsil_etmek
reproduce uretmesidir
reserve rezerv
resolution cozun
resource kaynak
respond cevap_vermek
responsibility sorumluluk
responsible sorumluluk_sahibi
rest dinlenme
retrieve geri_almak
return_key geri_donus_tusu
rewarding faydali
rotate dondur
run calistirmak
salary maas
same ayni
scale olcek
secondary ikincil
section bolum
security guvenlik
select secmek
share paylas
signal isaret
similar benzer
single tek
situation durum
slow yavas
solid kati
solve cozmek
song sarki
space uzay
speed hiz
spread yayilmis
stand_for temsil_etmek
state durum
step adim
storage depolama
store magaza
strange garip
subdirectory alt_dizin
successor varis
suffix son_ek
suitable uygun
supervise denetlemek
support destek
surface yuzey
task gorev
tell soylemek
temporary gecici
terminate bitirmek
the_current akim
through vasitasiyla
thus boylece
touch temas
track izlemek
traditional geleneksel
turn_of kapatmak
unauthorized yetkisiz
uncompress sikistirmak
undependable guvenilmez
understand anlama
usability kullanilabilirlik
useful ise_yarar
usually genelde
variety cesitlilik
vertical dikey
visible gozle_gorunur
vital hayati
ware esya
when ne_zaman
whole butun
wide genis
widely genis_olcude
wire tel
wor_out egzersiz_yapmak
 
